Commit message
Deduplicate code in InterpretedByteCode
"[1120417] Break up transaction of updatePluginConfigurationDefinition into smaller pieces Another pass here given some oracle test failures in the CI env. - Fix an issue with PropertyDefinitionSimple.removeEnumeratedValues.   An unexpected problem brought out, I guess, by the Tx reworking,   must be careful not to replace hibernate proxy dealing with   orphanRemoval. - remove unnecessary REQUIRES_NEW that could lead to locking issues - remove some dead code - start shortening xxxInNewTransaction to xxxInNewTx, purely for selfish reasons."
Added a FoldedData class for cycling through training
"EST-610-add-display-order-to-property: Removed the @Nullable annotation, which was causing build errors. No longer sorting the allProperties() by default. Moved duplicate code in the moveUp/Down functions to a general move function. Removed secondary ordering by name. Since the allProperties() doesn't sort by default, several sorts are performed inside the PropertyOrderingViewModel"
Code cleanup:  Score function should work in doubles to avoid wrapping on longs for long distances;  Minimum distance we care about was too high;  Removed link between Geo Only and Lucene+Geo path;  Removed some dead code that was commented out
Introduce Writeback to reduce duplicate codes
rename and remove dead code
Camel forge command - Align the duplicate code we have for add/edit endpoint options to use same class.
"ISIS-1711: removes dead code, renames method"
move duplicate code to common method loadEntryWithCacheHints()
refactoring of Abstract*DataSet to delete duplicate code
Moving some duplicate code into AttachmentUtil
"- Bugzilla Bug (s) Resolved: 284870,284794 - Description: remove and merge duplicate code in multiple places"
Remove dead code.
embellish DuplicateBranches detector to look at switch statements. TODO: Need to convert relative offsets to absolute offsets so that branches inside the case statement match when the target is the same.
Add new UnsignedLong methods that we will shortly migrate to. ------------- Created by MOE: http://code.google.com/p/moe-java MOE_MIGRATED_REVID=38454126
Some changes to counter store      removed dead code      fixed bug on handling display of ethtypes with MSB set      replaced counterkey string processing on every packet-in with tuple keys      removed collection of traffic type per switch-port
"PDI-11201 - Modified processList, processRecord in NoAuthMongoClientWrapper to allow for null values, added fields to unit test json to validate, deleted dead code"
"- Moved Address.java in client.http package, did minor changes. - Removed duplicate code for Voice and DataType classes. - Added comments in server code - not completed yet (old comments remaining here and there) but important things are documented now. - Changed class name marytts.client.http/MaryHtmlForm to ""MaryBaseClient"" since it is the base class that all clients use for communicating with Mary server."
StewartSingularValueDecomposition: re-factor monolithic code and ugly switch statement into multiple methods
Remove dead code: entity delta gui code (because planning entity's cloned don't equals() true so the Set/Map gets always return null)
"Entangled Table_Test, partially removed duplicate code"
Duplicate code is my nemesis...
Remove duplicate code when handling PING
Reduce duplicate code and code complexity
removed dead code moved code about specific elements to the layout factory (link and br) fixed form rendering bug
ROO-2337: Post 1.1.3.RELEASE code refactor and clean up - opened up type location and removed duplicate code from GwtOperationsImpl
"Fixed compilation problems - missing dependency for interpreter project. Further implementation of switch statement (""defaultcase"" can be located in any order among case statements)."
"Removed dead code.  Moved generic read and write methods to FileReader, FileWriter. "
move some duplicate code in a common place
