CommitID,Commit Message
04d6eed048c5c6ee1f82d260710e981253be47a9,JaxbCollection: Renamed size to maxLength
04f0b11c85fa33d4900812f40be920e8a5bdfdae,webadmin: Edit/Remove Template & VM abstraction (#748413)
04fa5d4b99989d96a478fd788b0e821aba9f32d6,SPR-6093 - MVC Annotation Inheritance
0504ee4fc9653fb9987a7bd3a1191bd93317420b,Remove uneeded abstraction
050af3c3f7f25904d71c2dd83c9b8c29ecd574e8,Issue 176: size can now test compatibility with images; refactored vcloud config logic; updated to support latest bluelock
0515bb5b19bec22a7f864bbd1b2b57be2f7e290e,"Added a layer of abstraction, to make it easier to insert a new ScriptEngine"
05630d5f3942a18c7ca40866bfa963de81863b6c,SONARPHP-613 Improve ClassComplexityCheck
056ba53d2604d02452514571efecbbe257ac114a,IDE-943: added abstraction to make IContentAssistCalculators independent from WTP's internal classes
059c43b306553754b8bca0b40c87b1c8bf52c047,major overhaul of the JavaDoc mechanism to support JavaDoc inheritance
05d88e1c19040b6455625cb08113500d2be0ceaf,undid generic DocumentAccessor due to unnecessary complexity
05d9a851f61848991e893dfb7d76f22a68fca4b3,"Tighter coupling of subscription expiry logic with other subscription management. The previous implementation could detect an expired subscription, allow another client to subscribe to it, and then stop the (now active) subscription."
05e69b62940f47845355cca8fd28bd234f2ac4ee,Refactoring of SlidingWindow class in RR to reduce complexity and fix important bug.
0604cf11988159406201bc22cb617865d31a97fc,Fixes #216 Interceptors do not support Entity inheritance
0627a67dcec1ad8422b2d12ab0c781a1736bc397,"Minimize transient garbage volume by optimized serialization based on the 'Kryo' library * AutoKryo     extension of Kryo to allow classes to control their own registration, trigger registration of associated classes, and deserialize classes without no-arg constructors * KryoBinding     binding for use with BDB that uses AutoKryo serialization for a 2X-4X reduction in byte[] size * UURI     improved serialization via Externalizable and Kryo's CustomSerialization methods * BdbModule     discard deprecated CachedBDBMap option     (getObjectCache) extend with both declaredClass and valueClass (for when map values are specializations of the declared type, as with frontier.allQueues)     adjust type declarations * ObjectIdentityBdbCache     use KryoBinding rather than SerialBinding * CachedBdbMapTest     discarded * BdbFrontier, BdbServerCache, StatisticsTracker     adjust type declarations, objectCache creation * BdbMultipleWorkQueues     use KryoBinding rather than (Recycling)SerialBinding * BdbWorkQueue, CrawlServer, CrawlHost, CrawlURI     add autoregister support * LinkContext     public for kryo registration  "
064132b1676a5c795daf138d46d96952a195006d,"Uses DEV_NULL instead of SYSTEM StringLogger in many places, as well as abstractions instead of printStackTrace() and such. This greatly reduces amount of logging to the console when running kernel tests."
0675b6a8bad7650e6c962012dd34a7954ef39b5d,fix configuration abstraction for c + tests + minor fixes
0694bd0c7fed582466370a64f890b1efd46a2dc7,XWIKI-11460: Allow filesystem skins to indicate a base skin * better handling of cross inheritance
06975ddd9adf669e8e2fa1e406fb748648b5d028,"New tests and fixes - inheritance, injection"
06c5ab871501d7fb09b56eb47e9ebff48de842e0,Complete LUP decomposition with pivoting
06e892365ec5ecef05df28690a4ccaccf5c4e452,"more code cleanup, exporter is now even simpler due to composition"
06f104b748d52f5d229a6cb5109e29c8df158024,Reduce complexity of tool framework
